title	link	description	pubDate
"&quot;<b>MZ</b> 잡자&quot;···NH證, 온라인 '투자 놀이터' 오픈"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003953177	자세한 사항은 투자가 문화로’ 페이지를 참고하면 된다. 앞서 토스<b>증권</b>에서 <b>MZ</b>세대를 겨냥해 모바일트레이딩시스템(MTS)을 내놓고 돌풍을 일으키는 가운데 삼성<b>증권</b>도 전용 앱인 ‘오투’를 출시한 바 있다.	"Mon, 23 Aug 2021 14:43:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 브랜드 플랫폼 '투자가 문화로' 출시"	https://www.dnews.co.kr/uhtml/view.jsp?idxno=202108231100002470733	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;'투자가 문화로'가 당사의 미래 주요 고객층인 <b>MZ</b>세대와의... "	"Mon, 23 Aug 2021 11:10:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥한 모의투자 플랫폼 내놓고 이벤트"	https://www.businesspost.co.kr/BP?command=article_view&num=246806	NH투자<b>증권</b>이 <b>MZ</b>세대 고객을 겨냥해 부담없이 투자를 접해볼 수 있는 플랫폼을 내놨다. NH투자<b>증권</b>은 브랜드 디지털플랫폼 '투자가 문화로'를 공개했다고 23일 밝혔다. NH투자<b>증권</b>은 브랜드 디지털 플랫폼 '투자가 문화로... 	"Mon, 23 Aug 2021 16:06:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 '투자가 문화로' 디지털 플랫폼 공개"	http://www.newspim.com/news/view/20210823000374	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;미래 주요 고객층인 <b>MZ</b>세대와의 관계를 강화하고 투자가 고객... "	"Mon, 23 Aug 2021 10:49:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b> 맞춤 플랫폼 ‘투자놀이터’ 선봬"	https://www.ekn.kr/web/view.php?key=20210823010003672	NH투자<b>증권</b>이 <b>MZ</b>세대(1980년대 초~2000년대 초 출생)를 위한 투자놀이터를 새롭게 내놨다. NH투자<b>증권</b>은 23일 브랜드 디지털 플랫폼 ‘투자가 문화로’를 공개했다고 밝혔다. 게임과 같은 놀이처럼 주식과 투자문화를... 	"Mon, 23 Aug 2021 13:18:00 +0900"
[상반기 카드 결산] PLCC·제휴카드 강타한 ‘카카오뱅크’ 위력…<b>MZ</b>세대 사로...	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=243&aid=0000015554	생산하며 <b>증권</b>가를 흔든데 이어 카드업계에 미치는 영향도 상당하다는 분석이 나온다. 특정기업의 브랜드를 신용카드에 적용해 해당 기업에 집중된 혜택과 서비스를 제공하는 PLCC와 제휴카드가 <b>MZ</b>세대에 호응에... 	"Tue, 24 Aug 2021 10:15:00 +0900"
[실전재테크]앱테크 열풍…금융사·<b>MZ</b>세대 니즈 '찰떡'	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004958860	스마트폰을 잘 다루는 <b>MZ</b>(밀레니얼+Z)세대 사이에서 애플리케이션(앱)을 통해 재테크에 나서는 앱테크(앱... KB금융은 이달 17일부터 다음달 30일까지 기간을 설정해 고객이 KB은행·<b>증권</b>·손해보험·카드와... 	"Wed, 25 Aug 2021 11:20:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 '투자가 문화로' 공개"	http://theviewers.co.kr/View.aspx?No=2010225	뷰어스 문형민 기­자 mhyung13@viewers.co.kr (사진=NH투자<b>증권</b>) NH투자<b>증권</b>은 <b>MZ</b>세대(밀레니얼+Z세대)를 겨냥한 디지털 플랫폼 '투자가 문화로'를 공개했다고 23일 밝혔다. '투자가 문화로'는 NH투자<b>증권</b>의 디지털 브랜딩... 	"Mon, 23 Aug 2021 15:36:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 '투자가 문화로' 플랫폼 선봬"	http://www.paxetv.com/news/articleView.html?idxno=125184	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;'투자가 문화로'를 통해 당사는 미래 주요 고객층인 <b>MZ</b>세대와의... "	"Mon, 23 Aug 2021 19:47:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 '투자가 문화로' 디지털 플랫폼 오픈"	http://www.shinailbo.co.kr/news/articleView.html?idxno=1450927	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;투자가 문화로를 통해?미래 주요 고객층인 <b>MZ</b>세대와의 관계를... "	"Mon, 23 Aug 2021 13:32:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥한 투자 플랫폼 오픈"	http://mbnmoney.mbn.co.kr/news/view?news_no=MM1004427032	NH투자<b>증권</b>이 <b>MZ</b>세대(1980년대 초~2000년대 초 출생)에 최적화된 투자놀이터를 선보였습니다. NH투자<b>증권</b>은 브랜드 디지털 플랫폼 '투자가 문화로'를 공개했다고 23일 밝혔습니다. 게임과 같은 놀이처럼 주식과 투자문화를... 	"Mon, 23 Aug 2021 15:46:00 +0900"
&quot;지금은 뱅킹커머스 시대&quot; 카카오뱅크 '26주 적금'에 <b>MZ</b>가 열광하는 이유	https://www.techm.kr/news/articleView.html?idxno=87711	낮은 금리에도 불구하고 적금 가입 과정에서의 재미와 파트너사의 쿠폰 및 사은품 제공 덕에 <b>MZ</b> 세대가... 구경회 SK<b>증권</b> 연구원은 &quot;카카오뱅크는 은행산업에 개혁을 불러올 기업으로 국내 은행주 역사상 가장 높은 PBR... 	"Wed, 25 Aug 2021 10:32:00 +0900"
"'우주'에 꽂힌 삼성 금융사들, 보험도 <b>증권</b>도 관심 이유는"	http://www.updownnews.co.kr/news/articleView.html?idxno=235139	금융권에선 삼성생명 우주 광고에 대해 재미를 중시하는 밀레니얼+Z(<b>MZ</b>)세대에게 관심을 끄는 것과 동시에?항상 함께 하겠다는 메시지를 담았다고 보고 있다. 삼성<b>증권</b>에 대해서는 우주산업의 중요성을 예견하고 우주를... 	"Wed, 25 Aug 2021 17:44:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 '투자 놀이터' 온라인 개장"	http://www.beyondpost.co.kr/view.php?ud=202108231905571615fb6e4c4ee4_30	회사에 따르면 투자가 문화로는 디지털상의 NH투자<b>증권</b>의 브랜딩 공간으로 비대면 문화 확산 속에서 시공간 제약 없는 새로운 고객 경험을 제공하기 위해 마련됐다. 투자 경험이 없는 <b>MZ</b>세대(1980~2000년대생) 고객들이... 	"Mon, 23 Aug 2021 19:08:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 위한 '투자가 문화로' 운영"	http://www.choicenews.co.kr/news/articleView.html?idxno=84224	"사진=NH투자<b>증권</b> NH투자<b>증권</b>은 23일 &quot;<b>MZ</b>세대 고객을 위한 '투자가 문화로'를 마련, 운영한다&quot;고 밝혔다. NH투자<b>증권</b>에 따르면 '투자가 문화로'는 디지털상의 NH투자<b>증권</b> 브랜딩 공간이다. 비대면 문화 확산 속에서 시공간... "	"Mon, 23 Aug 2021 16:12:00 +0900"
"NH투자<b>증권</b>, 브랜드 디지털 플랫폼 '투자가문화로' 오픈…<b>MZ</b>세대 겨냥 '투자 ..."	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=076&aid=0003770140	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며, &quot;'투자가 문화로'를 통해 당사는 미래 주요 고객층인 <b>MZ</b>세대와의... "	"Tue, 24 Aug 2021 09:50:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 맞춤 '투자가 문화로' 디지털 플랫폼 오픈"	http://www.finomy.com/news/articleView.html?idxno=98218	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;'투자가 문화로'를 통해 NH투자<b>증권</b>은 미래 주요 고객층인 <b>MZ</b>세... "	"Mon, 23 Aug 2021 15:40:00 +0900"
"[뉴스투데이 E] NH투자<b>증권</b>, <b>MZ</b>세대 겨냥한 디지털 플랫폼 오픈"	https://www.news2day.co.kr/article/20210823500122	"NH투자<b>증권</b> 관계자는 “언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다”며 “’투자가 문화로’를 통해 당사는 미래 주요 고객층인... "	"Mon, 23 Aug 2021 13:40:00 +0900"
<b>증권</b>가는 플랫폼 전쟁 중...“<b>MZ</b>세대를 잡아라”	http://www.kukinews.com/newsView/kuk202108240286	NH투자<b>증권</b> 관계자는 플랫폼 구축에 대해 “미래 주요 고객층인 <b>MZ</b>세대와의 관계를 강화하고 이후에 실제 고객으로 연결되는 창구로 자리 잡도록 노력할 것”이라고 설명했다. 플랫폼을 무기로 한 핀테크 기업들이 금융... 	"Wed, 25 Aug 2021 05:58:00 +0900"
NH證 온라인 플랫폼 개설 &quot;디지털 콘텐츠로 <b>MZ</b> 공략&quot;	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004841990	정영채 NH투자<b>증권</b> 사장은 &quot;주식 시장을 주도하는 계층이 <b>MZ</b>세대로 점차 이동하면서 고객을 만나는 방식과 제공 서비스 내용도 달라질 수밖에 없다&quot;며 &quot;다양한 디지털 플랫폼 서비스를 제공해 고객들이 보다 쉽고... 	"Mon, 23 Aug 2021 17:06:00 +0900"
투자가 낯선 <b>MZ</b>세대 &quot;어서와&quot;	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002693256	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;'투자가 문화로'를 통해 미래 주요 고객층인 <b>MZ</b>세대와의 관계를... "	"Mon, 23 Aug 2021 15:26:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 브랜드 디지털 플랫폼 '투자가 문화로' 오픈"	http://www.newsworks.co.kr/news/articleView.html?idxno=566684	?NH투자<b>증권</b>은 <b>MZ</b>세대 고객을 겨냥한 브랜드 디지털 플랫폼 '투자가 문화로'를 공개했다고 23일 밝혔다. 투자가 문화로는 디지털상의 NH투자<b>증권</b>의 브랜딩 공간으로 비대면 문화 확산 속에서 시공간 제약 없는 새로운... 	"Mon, 23 Aug 2021 14:30:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 위한 '투자놀이터' 만든다"	https://www.ngetnews.com/news/articleView.html?idxno=402667	23일 NH투자<b>증권</b>은 브랜드 디지털 플랫폼 '투자가 문화로'를 공개했다. 이 플랫폼은 투자 경험이 없는 <b>MZ</b>세대 고객들이 부담없이 투자를 쉽고 재미있게 접할 수 있도록 '투자 놀이터' 컨셉으로 출범했다. 게임과 같은... 	"Mon, 23 Aug 2021 11:11:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 '투자가 문화로' 브랜드 디지털 플랫폼 오픈"	http://www.lcnews.co.kr/news/articleView.html?idxno=23181	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;'투자가 문화로'를 통해 당사는 미래 주요 고객층인 <b>MZ</b>세대와의... "	"Mon, 23 Aug 2021 17:06:00 +0900"
"“<b>MZ</b>세대 잡아라”..NH투자<b>증권</b>, 디지털 플랫폼 ‘투자가 문화로’ 오픈"	http://kpenews.com/View.aspx?No=2010001	한국정경신문 권준호 기­자 [한국정경신문=] NH투자<b>증권</b>은 23일 <b>MZ</b>세대(밀레니얼+Z세대)를 겨냥한 디지털 플랫폼 '투자가 문화로'를 공개했다고 밝혔다. 투자가 문화로는 NH투자<b>증권</b>의 디지털 브랜딩 공간으로 비대면 문화... 	"Mon, 23 Aug 2021 14:14:00 +0900"
"NH투자<b>증권</b>, 브랜드 디지털 플랫폼 '투자가 문화로' 오픈"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004594779	NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;투자가 문화로를 통해 당사는 미래 주요 고객층인 <b>MZ</b>세대와의... 	"Mon, 23 Aug 2021 10:40:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 ‘투자가 문화로’ 브랜드 디지털 플랫폼 오픈"	http://www.thebigdata.co.kr/view.php?ud=202108231126318907d0a8833aad_23	"NH투자<b>증권</b> 관계자는 “언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다”며 “’투자가 문화로’를 통해 당사는 미래 주요 고객층인... "	"Mon, 23 Aug 2021 11:38:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 사로잡을 ‘투자가 문화로’ 디지털 플랫폼 오픈"	http://www.pinpointnews.co.kr/view.php?ud=202108231306511405cd1e7f0bdf_45	"NH투자<b>증권</b> 관계자는 “언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다”며 “’투자가 문화로’를 통해 당사는 미래 주요 고객층인... "	"Mon, 23 Aug 2021 13:11:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 위한 디지털 플랫폼 오픈"	http://www.gokorea.kr/news/articleView.html?idxno=711927	NH투자<b>증권</b> 관계자는 &quot;투자가 문화로를 통해 미래 주요 고객층인 <b>MZ</b>세대와의 관계를 강화하고 이후 실제 고객으로 연결될 수 있는 게이트웨이(gateway)로 자리 잡도록 노력하겠다&quot;고 말했다.	"Mon, 23 Aug 2021 17:32:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 '투자가 문화로' 브랜드 디지털 플랫폼 오픈"	http://www.worktoday.co.kr/news/articleView.html?idxno=17851	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;'투자가 문화로'를 통해 당사는 미래 주요 고객층인 <b>MZ</b>세대와의... "	"Mon, 23 Aug 2021 19:36:00 +0900"
[초점] <b>MZ</b>세대가 대기업 CEO로?…식품업계 경영수업 3세들	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000620012	'<b>MZ</b> 세대'로 일컬은 나이대의 식품업계 오너 3세들이 주요 요직에 배치되며 경영 수업에 한창이다. <b>MZ</b>세대는... <b>증권</b>업계 한 애널리스트(연구원)는 &quot;사실상 한국에서 기업 승계는 시간이 갈수록 어려워지고 있는 것이... 	"Mon, 23 Aug 2021 17:10:00 +0900"
"&quot;투자가 문화로&quot;…NH<b>증권</b>, 디지털 플랫폼 공개"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004595037	‘투자가 문화로’는 NH투자<b>증권</b>의 디지털 브랜딩 공간이다. 비대면 문화 확산 속에서 시공간 제약 없이 새로운 고객 경험을 제공하겠다는 취지로 마련됐다. 투자 경험이 없는 <b>MZ</b>세대(밀레니얼+Z세대) 고객이 투자를 쉽고... 	"Mon, 23 Aug 2021 17:35:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 ‘투자가 문화로’ 브랜드 디지털 플랫폼 오픈"	http://www.newsway.co.kr/news/view?tp=1&ud=2021082313234541144	"NH투자<b>증권</b> 관계자는 “언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다”며 “’투자가 문화로’를 통해 당사는 미래 주요 고객층인... "	"Mon, 23 Aug 2021 13:26:00 +0900"
"미래에셋<b>증권</b>, 엠클럽 이용자 100만 달성 기념 이모티콘 지급 이벤트"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=015&aid=0004594793	"권오만 미래에셋<b>증권</b> 디지털Biz본부장은 “최근에 신규 개인투자자와 <b>MZ</b>세대의 투자 비중이 높아지고 있다”며 “엠클럽은 앞으로도 쉽고, 다양한 콘텐츠를 통해 고객의 투자에 도움 되는 서비스를 제공하기 위해... "	"Mon, 23 Aug 2021 11:05:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 ‘투자가 문화로’ 브랜드 디지털 플랫폼 오픈"	https://www.fetv.co.kr/news/article.html?no=94092	NH투자<b>증권</b> 관계자는 “언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다”며 “’투자가 문화로’를 통해 미래 주요 고객층인 <b>MZ</b>세대와의... 	"Mon, 23 Aug 2021 10:52:00 +0900"
"미래에셋<b>증권</b>, 'm.Club' 100만 고객 달성...이모티콘 지급 이벤트"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004696159	"권오만 미래에셋<b>증권</b> 디지털비즈본부장은 “최근에 신규 개인 투자자와 <b>MZ</b>세대의 투자 비중이 높아지고 있다”라며 “m.Club은 앞으로도 쉽고, 다양한 콘텐츠를 통해 고객의 투자에 도움되는 서비스를 제공하기... "	"Mon, 23 Aug 2021 10:21:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 온라인 투자 놀이터 '투자가 문화로' 오픈"	http://www.newsquest.co.kr/news/articleView.html?idxno=87922	NH투자<b>증권</b>이 온라인 투자놀이터를 내놓았다. [사진=NH투자<b>증권</b>] NH투자<b>증권</b>(대표?정영채)이 브랜드 디지털... '투자가 문화로'는 투자 경험이 없는 <b>MZ</b>세대 고객들이 부담 없이 투자를 쉽고 재미있게 접할 수 있도록 '투자... 	"Mon, 23 Aug 2021 16:16:00 +0900"
"NH투자<b>증권</b>, 브랜드 디지털 플랫폼 ‘투자가 문화로’ 오픈"	https://daily.hankooki.com/lpage/finance/202108/dh20210823105444148310.htm?s_ref=nv	NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;면서 &quot;'투자가 문화로'를 통해 NH투자<b>증권</b>은 미래 주요 고객층인 <b>MZ</b>세... 	"Mon, 23 Aug 2021 10:56:00 +0900"
"[세대교체] 이랜드 무신사 손잡은 까닭, 최운식 한문일 <b>MZ</b>세대 깊게"	https://www.businesspost.co.kr/BP?command=article_view&num=247100	있는 <b>MZ</b>세대(1980년대 초반~2000년대 초반 출생) 공략에 힘을 싣기 위해서다. 이랜드월드는 이랜드그룹의... 신한금융투자 한국투자<b>증권</b> 7. 삼성<b>증권</b> KB<b>증권</b> 8. 넥슨 엔씨소프트 넷마블 9. 이랜드월드 무신사 10. DL이앤씨 3부.... 	"Wed, 25 Aug 2021 10:24:00 +0900"
미래에셋<b>증권</b> 'm.Club 100만 고객' 달성 기념 이모티콘 지급 이벤트	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005017523	"권오만 미래에셋<b>증권</b> 디지털Biz본부장은 “최근에 신규 개인투자자와 <b>MZ</b>세대의 투자 비중이 높아지고 있다”며 “m.Club은 앞으로도 쉽고, 다양한 콘텐츠를 통해 고객의 투자에 도움 되는 서비스를 제공하기 위해... "	"Mon, 23 Aug 2021 10:19:00 +0900"
"금융권, 맞춤형 콘텐츠·이벤트로 <b>MZ</b>세대 겨냥…디지털 감성↑"	http://www.startuptoday.co.kr/news/articleView.html?idxno=82992	[사진출처=NH투자<b>증권</b>] NH투자<b>증권</b>은 <b>MZ</b>세대를 겨냥한 '온라인 투자 놀이터'를 열었다. 이날 공개된 NH투자<b>증권</b>의 브랜드 디지털 플랫폼 '투자가 문화로'는 비대면 문화 확산 속에서 시공간 제약 없는 새로운 고객 경험을... 	"Mon, 23 Aug 2021 16:50:00 +0900"
